Filename,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Governing Law Country,Exclusivity,Post-Termination Services,contract,Applicable_Laws,Summarized_Laws
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,JOINT FILING AGREEMENT,ABP TRUST; ADAM D. PORTNOY,1/22/20,,,,,,No,No,"Exhibit 99.1 JOINT FILING AGREEMENT The undersigned hereby agree that the Schedule 13G/A with respect to the shares of Class A Common Stock, $0.001 par value per share, of The RMR Group Inc., dated as of December 31, 2019, is, and any amendments thereto (including amendments on Schedule 13D) signed by each of the undersigned shall be, filed on behalf of each of us pursuant to and in accordance with the provisions of Rule 13d-1(k) under the Securities Exchange Act of 1934, as amended. January 22, 2020 (Date) ABP TRUST /s/ Adam D. Portnoy (Signature) Adam D. Portnoy, President (Name/Title) ADAM D. PORTNOY /s/ Adam D. Portnoy (Signature) 10","- Securities Exchange Act of 1934
- Rule 13d-1(k)","- **Securities Exchange Act of 1934**: Governs the trading of securities in the secondary market, requiring companies to disclose financial information and avoid fraudulent activities.

- **Rule 13d-1(k)**: Allows investors to file a ""Schedule 13D"" to report beneficial ownership of more than 5% of a public company's shares, detailing intentions and background."
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,"AMENDMENT TO SECTION 2, PART B OF THE CO-BRANDING AGREEMENT","PC Quote, Inc. (""PCQ""); A.B. Watley, Inc. (""ABW"")",12-09-1996,12-09-1996,,,,,No,No,"[LOGO]

AMENDMENT TO SECTION 2, PART B OF THE CO-BRANDING AGREEMENT

This amendment to Section 2 (titled ""Term""), Part B of the Co-Branding Agreement is made effective December 9, 1996 by and between PC Quote, Inc. (hereinafter referred to as ""PCQ"") and A.B. Watley, Inc. (hereinafter referred to as ""ABW""), who are also the parties contracted in the aforementioned Co-Branding Agreement. This Amendment shall apply to said PCQ and ABW and all of their subsidiaries and related companies.

[***]

Source: PCQUOTE COM INC, S-1/A, 7/21/1999





AGREED TO BY:

/s/ Steven Malin /s/ Howard Meltzer - -------------------------- --------------------------------- A.B. Watley, Inc. PC Quote, Inc. Mr. Steven Malin Mr. Howard Meltzer Director President Date:  12/5/96 Date:   12/12/96      -------------- ----------------

Source: PCQUOTE COM INC, S-1/A, 7/21/1999",- Co-Branding Agreement,"A Co-Branding Agreement is a contract between two or more brands to collaborate on a joint product or marketing initiative, sharing branding, resources, and responsibilities while outlining terms for use of each brand’s intellectual property, revenue sharing, and duration of the partnership."
"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF",JOINT FILING AGREEMENT,"ARES TRADING SA; MERCK SERONO SA COINSINS, SWITZERLAND, AN AFFILIATE OF MERCK KGAA, DARMSTADT, GERMANY; MERCK KGAA DARMSTADT, GERMANY",,,,,,,No,No,"Exhibit 99.1 JOINT FILING AGREEMENT Additional Reporting Person (a): Merck Serono SA Address: Zone Industrielle 1267 Coinsins, Switzerland Additional Reporting Person (b): Merck KGaA Address: Frankfurter Str. 250 64293 Darmstadt, Germany Designated Filer: Ares Trading SA Issuer and CUSIP: Intrexon Corporation (46122T102) Dated: January 7, 2019 ARES TRADING SA ARES TRADING SA By: /s/ Cédric Hyde By: /s/ Luigia Bocola Name: Cédric Hyde Name: Luigia Bocola Title: CFO Title: Finance Manager MERCK SERONO SA, COINSINS, SWITZERLAND, AN AFFILIATE OF MERCK KGAA, DARMSTADT, GERMANY MERCK SERONO SA, COINSINS, SWITZERLAND, AN AFFILIATE OF MERCK KGAA, DARMSTADT, GERMANY By: /s/ Cédric Hyde By: /s/ Tearaboth Te Name: Cédric Hyde Name: Tearaboth Te Title: CFO Title: Treasury Director MERCK KGAA, DARMSTADT, GERMANY MERCK KGAA, DARMSTADT, GERMANY By: /s/ Rando Bruns By: /s/ Tim Nielsen Name: Rando Bruns Name: Tim Nielsen Title: Head of Treasury Title: Head of Capital Markets",- JOINT FILING AGREEMENT,"A Joint Filing Agreement allows two or more parties to file a legal document or tax return together, sharing resources and responsibilities, often used for tax purposes or legal petitions."
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.PDF,JOINT FILING AGREEMENT,"Shelby J. Butterfield (""Co-Trustee"")",3/27/20,,,,,,No,No,"Exhibit 1

JOINT FILING AGREEMENT

The undersigned hereby agree to jointly prepare and file with the applicable regulatory authorities this Schedule 13G or Schedule 13D and any future amendments thereto reporting each of the undersigned's ownership of securities of the issuer named herein, and hereby affirm that such Schedule 13G or Schedule 13D is being filed on behalf of each of the undersigned pursuant to and in accordance with the provisions of Rule 13d-1(k) under the Securities Exchange Act of 1934. The undersigned acknowledge that each shall be responsible for the timely filing of such amendments, and for the completeness and accuracy of the information concerning her or it contained therein, but shall not be responsible for the completeness and accuracy of the information concerning the other, except to the extent that she or it knows or has reason to believe that such information is inaccurate.

Dated: March 27, 2020.

/s/ Shelby J. Butterfield Shelby J. Butterfield

BUTTERFIELD FAMILY TRUST

By: /s/ Shelby J. Butterfield Shelby J. Butterfield Co-Trustee

1",Securities Exchange Act of 1934,"The Securities Exchange Act of 1934 regulates the trading of securities in the U.S., establishes the Securities and Exchange Commission (SEC) to oversee market activities, requires public companies to disclose financial information, and prohibits fraud and insider trading."
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT.PDF",JOINT FILING STATEMENT,"SCULPTOR CAPITAL LP; SCULPTOR CAPITAL HOLDING CORPORATION; SCULPTOR MANAGEMENT, INC.; SCULPTOR MASTER FUND LTD",04-08-2020,,,,,,No,No,"Schedule 13 G CUSIP No. 30734W208 EXHIBIT 1 JOINT FILING STATEMENT PURSUANT TO RULE 13d-1(k)

The undersigned acknowledge and agree that the foregoing statement on this Schedule 13G is filed on behalf of each of the undersigned and that all subsequent amendments to this statement on Schedule 13G shall be filed on behalf of each of the undersigned without the necessity of filing additional joint acquisition statements. The undersigned acknowledge that each shall be responsible for the timely filing of such amendments and for the completeness and accuracy of the information concerning him or it contained herein or therein, but shall not be responsible for the completeness and accuracy of the information concerning the others, except to the extent that he or it knows or has reason to believe that such information is inaccurate.

DATED: April 8, 2020 SCULPTOR CAPITAL LP

By: /s/ Thomas Sipp Thomas Sipp Chief Financial Officer SCULPTOR CAPITAL HOLDING CORPORATION

By: /s/ Thomas Sipp Thomas Sipp Chief Financial Officer SCULPTOR MANAGEMENT, INC.

By: /s/ Thomas Sipp Thomas Sipp Chief Financial Officer SCULPTOR MASTER FUND LTD

By: /s/ Thomas Sipp Thomas Sipp Chief Financial Officer","1. Rule 13d-1(k) - Pertaining to the filing requirements for joint acquisition statements.
2. Securities Exchange Act of 1934 - Governs the disclosure and reporting requirements for entities trading securities.
3. Contract Law - General principles of contract law may apply to the formation and enforcement of the agreement.
4. Corporate Law - Applicable to the legal rights and responsibilities of corporations involved in the contract.","1. Rule 13d-1(k): Requires joint filers to submit statements for group acquisitions of securities.
2. Securities Exchange Act of 1934: Regulates disclosure and reporting for securities trading entities.
3. Contract Law: Governs the creation and enforcement of agreements.
4. Corporate Law: Defines the legal rights and obligations of corporations in contracts."
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.PDF,JOINT FILING AGREEMENT,"Bank of America Corporatino, Banc of America Preferred Funding Corporation",04-07-2020,04-07-2020,,,,,No,No,"JOINT FILING AGREEMENT

Pursuant to and in accordance with the Securities Exchange Act of 1934, as amended (the ""Exchange Act""), and the rules and regulations thereunder, each party hereto hereby agrees to the joint filing, on behalf of each of them, of any filing required by such party under Section 13 or Section 16 of the Exchange Act or any rule or regulation thereunder (including any amendment, restatement, supplement, and/or exhibit thereto) with the Securities and Exchange Commission (and, if such security is registered on a national securities exchange, also with the exchange), and further agrees to the filing, furnishing, and/or incorporation by reference of this agreement as an exhibit thereto. This agreement shall remain in full force and effect until revoked by any party hereto in a signed writing provided to each other party hereto, and then only with respect to such revoking party.

IN WITNESS WHEREOF, each party hereto, being duly authorized, has caused this agreement to be executed and effective as of the date set forth below.

Date: April 7, 2020 BANK OF AMERICA CORPORATION

By: Ally Pecarro Name: Ally Pecarro Title: Attorney-in-fact

BANC OF AMERICA PREFERRED FUNDING CORPORATION

By: Michael Jentis Name: Michael Jentis Title: Authorized Signatory",- Securities Exchange Act of 1934,"The Securities Exchange Act of 1934 regulates securities trading, requires disclosure of financial information by publicly traded companies, and establishes the Securities and Exchange Commission (SEC) to oversee and enforce securities laws, aiming to protect investors and maintain fair markets."
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT.PDF,WEB HOSTING AGREEMENT,Galacticomm; Horst Entertainment Inc,09-09-1997,,,,,,No,No,"EXHIBIT 10.46

                             WEB HOSTING AGREEMENT

This agreement shall void and nullify any and all previous agreements to this date between Galacticomm and Horst Entertainment Inc.

There shall be no additional fees of any kind paid to Galaticomm, other than those stated within this agreement for software usage and/or bandwidth usage.

Horst Entertainment agrees to pay Galactcomm $0.01 (one cent) per access up to 400,000 accesses thereafter payment shall be $0.005 (one-half cent) per access. Horst Entertainment shall send this amount to Galacticomm by no later than Wednesday for accesses used from the previuos week (Monday thru Sunday).

Galacticomm must provide a person(s) to correct any technical problems (Server being down or inaccessible) 24 hours per day, 7 days per week. This person(s) must be available by beeper or telephone. Horst Entertainment shall provide this same 24 hour service at the broadcast location.

In the event Galacticomm, Inc. chooses to terminate this agreement, Horst Entertainment Inc. will have the right to purchase a license copy of the software in the amount of $15,000.00.

All parties have read and fully agree to all terms and conditions as set forth in this Web Hosting Agreement. Any disputes arising herein shall be settled in a court in FLorida.

/s/ Yannick Tessier                               9/9/97 - -----------------------                           ------      Galacticomm                                   Date

[ILLEGIBLE] HORST                                 9/9/97 - -------------------------                         ------  Horst Entertainment Inc.                          Date","- Uniform Electronic Transactions Act
- Uniform Commercial Code
- Contract Law","**Uniform Electronic Transactions Act (UETA)**: Recognizes electronic records and signatures as legally valid and enforceable, establishing that electronic communications can satisfy legal requirements for writing and signatures.

**Uniform Commercial Code (UCC)**: A comprehensive set of laws governing commercial transactions, including sales of goods, leases, negotiable instruments, and secured transactions, aimed at standardizing commerce across states.

**Contract Law**: Governs the creation, performance, and enforcement of agreements between parties, including elements such as offer, acceptance, consideration, and legality, providing remedies for breach."
"SPRINGBANKPHARMACEUTICALS,INC_04_08_2020-EX-99.A-JOINT FILING AGREEMENT.PDF",JOINT FILING AGREEMENT,UBS ONCOLOGY IMPACT FUND L.P.; ONCOLOGY IMPACT FUND (CAYMAN) MANAGEMENT L.P.; MPM ONCOLOGY IMPACT MANAGEMENT LP; MPM ONCOLOGY IMPACT MANAGEMENT GP LLC,04-07-2020,,,,,,No,No,"EXHIBIT A JOINT FILING AGREEMENT In accordance with Rule 13d-1(k) under the Securities Exchange Act of 1934, as amended, the undersigned agree to the joint filing on behalf of each of them of a statement on Schedule 13G (including amendments thereto) with respect to the Common Stock of Spring Bank Pharmaceuticals, Inc. and further agree that this agreement be included as an exhibit to such filing. Each party to the agreement expressly authorizes each other party to file on its behalf any and all amendments to such statement. Each party to this agreement agrees that this joint filing agreement may be signed in counterparts. In evidence whereof, the undersigned have caused this Agreement to be executed on their behalf this 7t h day of April, 2020. UBS ONCOLOGY IMPACT FUND L.P. ONCOLOGY IMPACT FUND (CAYMAN) MANAGEMENT L.P. By: Oncology Impact Fund (Cayman) Management L.P, By: MPM Oncology Impact Management LP, its General Partner its General Partner By: MPM Oncology Impact Management LP, By: MPM Oncology Impact Management GP LLC, its General Partner its General Partner By: MPM Oncology Impact Management GP LLC, By: /s/ Ansbert Gadicke its General Partner Name: Ansbert Gadicke Title: Managing Member By: /s/ Ansbert Gadicke Name: Ansbert Gadicke Title: Managing Member MPM ONCOLOGY IMPACT MANAGEMENT LP MPM ONCOLOGY IMPACT MANAGEMENT GP LLC By: MPM Oncology Impact Management GP LLC, By: /s/ Ansbert Gadicke its General Partner Name: Ansbert Gadicke Title: Managing Member By: /s/ Ansbert Gadicke Name: Ansbert Gadicke Title: Managing Member","1. Securities Exchange Act of 1934
2. Rule 13d-1 under the Securities Exchange Act of 1934","1. **Securities Exchange Act of 1934**: Regulates the trading of securities, establishes the SEC, mandates disclosures for public companies, and aims to protect investors by preventing fraud in the securities market.

2. **Rule 13d-1 under the Securities Exchange Act of 1934**: Requires investors who acquire more than 5% of a company's equity securities to file a Schedule 13D with the SEC, disclosing their ownership and intentions regarding the investment."
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.pdf,"SCHEDULE TO Software License, Customization and Maintenance Agreement","Cardlytics, Inc. (""Supplier""); Bank of America, N.A (""Bank of America)",03-04-2011,03-03-2011,,,,,No,No,"SCHEDULE TO Software License, Customization and Maintenance Agreement    Supplier Name:  Cardlytics, Inc.  Agreement Number:  CW251207

Supplier Address:



621 North Avenue NE Suite C-30 Atlanta, GA 30308

Addendum Number:



CW255039

Supplier Telephone:  888.798.5802  Addendum Effective Date  March 3, 2011

This Schedule (""Schedule"") is made as of the effective date set forth above to that Software License, Customization, and Maintenance Agreement, by and between Cardlytics, Inc. (""Supplier"") and Bank of America, N. A, (""Bank of America""), dated November 5, 2010, as amended (""SLCMA""). Each capitalized term used but not defined herein shall have the meaning assigned in the SLCMA.

WHEREAS, Bank of America and Supplier entered into the SLCMA in order to set forth the terms and conditions pursuant to which Supplier provides certain Software to Bank of America,

WHEREAS, the parties desire to add to the SLCMA the Supplier Offer Placement System Software;

NOW THEREFORE, in consideration of the promises and accords made herein, and the exchange of such good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, Bank of America and Supplier agree as follows:

The attached Schedule [A] is hereby incorporated into the SLCMA describing the Offer Placement System Software for use by Bank of America.

THE FOREGOING IS UNDERSTOOD AND AGREED TO BY:   Cardlytics, Inc. (""Supplier"")   Bank of America, N.A. (""Bank of America"")

By:  /s/ Scott Grimes  By:  /s/ Chandra Torrence

Name: Scott Grimes  Name: Chandra Torrence

Title:  Chief Executive Officer  Title:  V.P., Sourcing Manager

Date:  3/4/11  Date:  3/3/11    1.

Source: CARDLYTICS, INC., S-1, 1/12/2018","1. Software License Agreement
2. Customization Agreement
3. Maintenance Agreement","1. **Software License Agreement**: Grants permission to use software under specified terms and conditions, including usage rights, restrictions, and duration.

2. **Customization Agreement**: Outlines terms for modifying software to meet specific client needs, detailing scope, deliverables, and payment.

3. **Maintenance Agreement**: Establishes terms for ongoing support and updates for software, including response times, service levels, and costs."
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4.pdf,"AMENDMENT NO. 3

 MANUFACTURING AGREEMENT","Stremicks Heritage Foods, LLC (""Heritage""); Premier Nutrition Corporation (""Premier"")",07-03-2019,07-03-2019,,,,,No,No,"AMENDMENT NO. 3 TO STREMICK'S HERITAGE FOODS, LLC and PREMIER NUTRITION CORPORATION MANUFACTURING AGREEMENT

This Amendment No. 3 (the ""Third Amendment""), entered into by and between Stremicks Heritage Foods, LLC (""Heritage"") Premier Nutrition Corporation (""Premier"") is effective as of July 3, 2019 (""Third Amendment Effective Date"") and amends that certain Manufacturing Agreement between Heritage and Premier dated July 1, 2017 as amended (""Agreement""). Heritage and Premier are each referred to herein as a ""Party"" and collectively as the ""Parties.""

WHEREAS, Heritage and Premier entered into the Agreement;

WHEREAS, the Parties wish to amend the Agreement in accordance with the terms and conditions set forth herein.

NOW, THEREFORE, in consideration of the promises and of the mutual covenants, representations and warranties contained in the Agreement and set forth herein, the Parties hereby agree that the following changes shall be made to the Agreement:

1. The Parties hereby agree to remove Schedule C-1 in its entirety and replace it with the following:

Schedule C-1. The following is attached to an incorporated into the Agreement as Schedule C-1:

Schedule C-1([***])

[***]

2. Except as otherwise specified above in this Amendment, all other terms, conditions and covenants of the Agreement shall remain in full force and effect.

IN WITNESS WHEREOF, the Parties have caused this Amendment to be signed by their respective duly authorized representatives as of the Amendment Effective Date. Premier Nutrition Corporation Stremick's Heritage Foods, LLC.

By: /s/ Darcy Davenport By: /s/ Sam Stremick Name: Darcy Davenport Name: Sam Stremick Title: President Title: President

Source: BELLRING BRANDS, INC., S-1, 9/20/2019","- Manufacturing Agreement
- Contract Law","**Manufacturing Agreement**: A contract outlining the terms between a manufacturer and a client regarding the production of goods, including specifications, pricing, delivery, and quality standards.

**Contract Law**: Legal framework governing the formation, execution, and enforcement of agreements between parties, emphasizing elements such as offer, acceptance, consideration, and mutual consent."
